total_convert,post_title,link,parent_categories,child_categories
2,Kejora Ventures dan SBI Holdings Kolaborasi untuk Mendanai <em>Startup</em> di Indonesia,https://id.techinasia.com/kejora-ventures-sbi-holdings-orbit-fund,Startup,Startup Update
2,Cara Mengelola dan Memfasilitasi Pekerja <em>Remote</em> di Perusahaan Teknologi Agar Tetap Produktif,https://id.techinasia.com/cara-mengelola-dan-memfasilitasi-remote-working,Profesional,Team Management
2,[Update] Bagaimana Design Sprint Melahirkan Tech in Asia Edu,https://id.techinasia.com/design-sprint-tech-in-asia-edu,Profesional,Product Development
2,Tantangan dan Peluang <em>Startup</em> Pendidikan di Indonesia pada Tahun 2018,https://id.techinasia.com/startup-pendidikan-indonesia-2018,Startup,Industry Insights
2,[Update] 16 Pertanyaan Penting untuk Mengukur Kebahagiaan Karyawan,https://id.techinasia.com/pertanyaan-untuk-mengukur-kebahagiaan-karyawan,Profesional,Team Management
2,Dampak Inovasi <em>Startup</em> Terhadap Tumbuh Kembang UMKM Indonesia,https://id.techinasia.com/startup-untuk-umkm,Startup,Featured Startup
2,[Video] Cara Meningkatkan <em>User Engagement</em> di <em>Website</em>,https://id.techinasia.com/cara-meningkatkan-user-engagement,Visual Story,
2,Daftar <em>Startup</em> yang Berkumpul di Dalam <em>Super-app</em> Grab Indonesia,https://id.techinasia.com/daftar-startup-di-dalam-superaap-grab,Startup,Featured Startup
2,Cara Menyusun Proyeksi Keuangan yang Layak Ditunjukkan pada Calon Investor,https://id.techinasia.com/cara-menyusun-proyeksi-keuangan,Startup,Featured Startup
2,"Cara <em>Startup</em> Hadapi Pandemi, dari PHK hingga Gratiskan Layanan",https://id.techinasia.com/cara-perusahaan-hadapi-krisis-pandemi-covid-19,Startup,Industry Insights
2,Melihat Pasar <em>Startup</em> Furnitur dan Peralatan Rumah Tangga Indonesia,https://id.techinasia.com/melihat-startup-furnitur-dan-peralatan-rumah-tangga-indonesia,Startup,Industry Insights
2,Asia Tenggara Tawarkan Lebih Banyak Peluang Selain <em>Super App</em>,https://id.techinasia.com/peluang-asia-tenggara-selain-super-app,Startup,Industry Insights
2,"Cara Komunikasi  Bukalapak, Tokopedia dan Blibli Ketika Mereka Menghadapi Krisis",https://id.techinasia.com/strategi-komunikasi-krisis-startup,Profesional,Team Management
2,Analisis Goldman Sachs: dari Kebangkitan Lazada hingga Posisi Bukalapak yang Rentan,https://id.techinasia.com/analisis-ecommerce-goldman-sachs,Startup,Industry Insights
2,Strategi LinkAja Hadapi Persaingan Pasar Dompet Elektronik 2020,https://id.techinasia.com/strategi-linkaja-2020,Startup,Featured Startup
2,Kapan <em>Startup</em> Sudah Tidak Bisa Lagi Disebut Sebagai <em>Startup</em>?,https://id.techinasia.com/kapan-startup-sudah-tidak-lagi-disebut-startup,Startup,Featured Startup
2,4 Tahapan Lean Market Validation untuk Melakukan Validasi terhadap Ide <em>Startup</em>,https://id.techinasia.com/validasi-ide-startup,Profesional,Product Development
2,Kapan Sebaiknya Perusahaan Mengadopsi Teknologi <em>Chatbot</em>?,https://id.techinasia.com/perkembangan-chatbot-indonesia,Startup,Featured Startup
2,Hal yang <em>Startup</em> Perlu Perhatikan agar Investasi Teknologinya Tidak Sia-Sia,https://id.techinasia.com/menghindari-kesalahan-investasi-teknologi,Profesional,Growth Hack
2,Pertumbuhan Aplikasi yang Bayar Orang Membaca Berita di Asia Tenggara,https://id.techinasia.com/aplikasi-yang-bayar-orang-membaca-berita,Startup,Featured Startup
2,6 Hal Penting tentang Model Bisnis <em>Venture Capital</em> yang Harus Kamu Ketahui,https://id.techinasia.com/hal-yang-harus-kamu-tahu-tentang-model-bisnis-venture-capital-vc,Startup,Investor
2,[Update] 11 <em>Provider</em> Internet Kabel di Indonesia dan Tip Memilih yang Tepat,https://id.techinasia.com/inilah-4-provider-internet-broadband-di-indonesia,Startup,
2,Peran <em>Data Science</em> dalam Mengembangkan Produk,https://id.techinasia.com/peran-data-science-mengembangkan-produk,Acara Eksklusif,PDC &amp; Conference
2,[Infografis] Perjalanan GO-JEK dari Sebuah <em>Call Center</em> Menjadi <em>Startup</em> Unicorn,https://id.techinasia.com/infografis-perjalanan-go-jek-dari-berdiri-hingga-unicorn,Startup,Featured Startup
2,[Infografik] Bisnis Virtual Hotel Operator yang Babak Belur Dihantam Pandemi,https://id.techinasia.com/infografik-bisnis-virtual-hotel-operator-yang-babak-belur-dihantam-pandemi,Visual Story,
2,Belajar dari Kesalahan <em>Founder</em> Qiscus dan Moselo yang Berhasil Setelah Pivot,https://id.techinasia.com/pengalamanan-pivot-qiscus-dan-moselo,Profesional,Self Management
2,Indogen Capital Galang Dana Rp699 Miliar untuk Modal Investasi Baru di <em>Startup</em>,https://id.techinasia.com/indogen-capital-galang-pendanaan-kedua,Startup,Startup Update
2,Panduan Implementasi <em>Email Marketing</em> buat Pemula  Bagian Kedua,https://id.techinasia.com/panduan-email-marketing-bagian-kedua,Visual Story,
2,Apa yang Terjadi di Industri Pembayaran Indonesia Jika OVO-DANA Resmi Merger?,https://id.techinasia.com/apa-yang-terjadi-di-industri-pembayaran-indonesia-jika-ovo-dana-resmi-merger,Startup,Industry Insights
2,Faktor Pemicu Bangkitnya <em>Ecommerce</em> B2B di Asia Tenggara,https://id.techinasia.com/pemicu-bangkitnya-ecommerce-b2b-di-asia-tenggara,Startup,Industry Insights
2,Adakah Masa Depan Inkubator dan Akselerator <em>Startup</em> di Indonesia?,https://id.techinasia.com/nasib-inkubator-dan-akselerator-di-indonesia,Startup,Industry Insights
2,[Opini] <em>Founder Startup</em> Idealis versus Realis,https://id.techinasia.com/founder-startup-idealis-versus-realis,Profesional,Self Management
2,Tren Bisnis <em>Startup</em> Indonesia: Diversifikasi Usaha hingga Konsolidasi Modal,https://id.techinasia.com/tren-bisnis-startup-diversifikasi-konsolidasi,Startup,Industry Insights
2,"[Update] <em>Product-Market Fit</em>, Cara Menemukan dan Mengimplementasikannya",https://id.techinasia.com/product-market-fit-cari-implementasi,Profesional,Product Development
2,Dampak Baik dan Buruk Pandemi COVID-19 bagi <em>Startup Fintech</em> Indonesia,https://id.techinasia.com/dampak-pandemi-bagi-fintech-indonesia,Startup,Industry Insights
2,<em>Product/Market Fit</em>: Apa dan Bagaimana Cara Mendapatkannya,https://id.techinasia.com/product-market-fit,Profesional,Product Development
2,Kiat Tim HR Bukalapak Mengatur Para Pegawai yang WFH Selama Pandemi,https://id.techinasia.com/kiat-wfh-bukalapak,Profesional,Team Management
2,Facebook: Nilai Belanja <em>Online</em> Konsumen Indonesia Bakal Jadi Rp665 T di 2025,https://id.techinasia.com/riset-facebook-belanja-konsumen-indonesia-2025,Startup,Industry Insights
2,Cara Membangun Citra <em>Brand</em> dan Menumbuhkan Jumlah <em>Follower</em> di Instagram,https://id.techinasia.com/cara-melakukan-instagram-marketing,Profesional,Digital Marketing
2,6 Hal Penting yang Kamu Perlu Tahu Sebelum Bergabung dengan <em>Startup</em>,https://id.techinasia.com/risiko-dan-tantangan-yang-kamu-hadapi-bila-bekerja-di-dunia-startup,Profesional,Self Management
2,Apa yang Diharapkan Gojek dan Pluang dari Produk GoInvestasi?,https://id.techinasia.com/analisis-goinvestasi-gojek-dan-pluang,Startup,Industry Insights
2,Peluang Paylater di Tengah Rendahnya Penetrasi Kartu Kredit di Indonesia,https://id.techinasia.com/peluang-paylater-melawan-kartu-kredit-di-indonesia,Startup,Industry Insights
2,Perjalanan Panjang William Li Membangun Akulaku dan Gaet Jutaan Pengguna di Indonesia,https://id.techinasia.com/sejarah-akulaku-william-li,Startup,
1,Panduan Lengkap Cara Melakukan Riset Pasar untuk <em>Startup</em> di Indonesia,https://id.techinasia.com/panduan-riset-pasar-untuk-startup,Startup,Entrepreneur
1,15 <em>Startup</em> di Asia Tenggara dengan Investasi Terbesar di Tahun 2015,https://id.techinasia.com/15-startup-dengan-investasi-terbesar-di-tahun-2015,Startup,Featured Startup
1,Peluang dan Kiat Skema <em>Omni-channel</em> di Industri Ritel Indonesia,https://id.techinasia.com/peluang-dan-kiat-skema-omni-channel,Startup,Industry Insights
1,Peluang dan Hambatan Munculnya Pemain Baru <em>Startup</em> Kesehatan di Indonesia,https://id.techinasia.com/peluang-startup-kesehatan-tahun-2020,Startup,Industry Insights
1,[Flash] <em>Startup</em> Kecantikan Base Terima Pendanaan Tahap Awal dari East Ventures,https://id.techinasia.com/pendanaan-tahap-awal-base,Startup,Startup Terbaru
1,4 Faktor Penentu Keberhasilan Ekonomi Digital Indonesia yang Perlu Dioptimalkan,https://id.techinasia.com/penentu-ekonomi-digital-indonesia,Startup,Industry Insights
1,Pentingnya <em>Sales Pipeline</em> bagi <em>Startup</em> agar Meraih Target Penjualan,https://id.techinasia.com/pentingnya-sales-pipeline-bagi-startup,,Digital Marketing
1,Bagaimana <em>Chatbot</em> Berperan Menangani Pandemi COVID-19 di Indonesia,https://id.techinasia.com/peran-chatbot-atasi-pandemi-di-indonesia,Startup,Industry Insights
1,Adu Strategi Empat <em>E-commerce</em> Menyambut Ramadan di Tengah Pandemi,https://id.techinasia.com/perang-strategi-empat-e-commerce,Startup,Featured Startup
1,Apa Itu <em>Social Selling</em> dan Peranannya di Era Pemasaran Modern,https://id.techinasia.com/peran-social-selling-dalam-pemasaran-modern,Profesional,Digital Marketing
1,[Infografik] Perkembangan Bisnis <em>E-warung</em> di Indonesia,https://id.techinasia.com/perkembangan-bisnis-e-warung-indonesia,Visual Story,
1,Persiapan Pakai Layanan Komputasi Awan: Hindari Empat Kesalahan Ini,https://id.techinasia.com/persiapan-pakai-komputasi-awan,Profesional,Engineering
1,Cara dan Karakteristik 4 <em>Venture Capital</em> di Indonesia dalam Memberikan Pendanaan,https://id.techinasia.com/perspektif-4-venture-capital-indonesia,Startup,Investor
1,Pertumbuhan <em>Insurtech</em> di Indonesia Terkendala Akses terhadap Data,https://id.techinasia.com/pertumbuhan-insurtech-terkendala-akses-data,Startup,Industry Insights
1,Plug and Play Perpanjang Masa Pendaftaran Program Akselerasi <em>Startup Batch</em> Ketiga,https://id.techinasia.com/plug-and-play-akselerasi-batch-tiga,Startup,Investor
1,Potensi <em>Edtech</em> di Sektor Pinjaman Pendidikan dan Sistem Manajemen Sekolah,https://id.techinasia.com/potensi-edtech-di-indonesia,Startup,Industry Insights
1,Cara Mengatasi <em>Anti-Pattern</em> yang Bisa Merusak Produksi Sebuah Produk,https://id.techinasia.com/product-anti-pattern-dana,Profesional,Product Development
1,Pro Kontra Sistem Pembayaran <em>Cash on Delivery</em> Sebagai Metode Transaksi <em>E-commerce</em>,https://id.techinasia.com/pro-kontra-sistem-pembayaran-cod,Startup,Industry Insights
1,Proyeksi Pendanaan <em>Startup</em> Indonesia di 2020 dari 3 Investor Terkemuka,https://id.techinasia.com/proyeksi-tren-investasi-startup-di-2020,Startup,Investor
1,"Setelah rebranding, Local.co.id fokus pada industri kreatif di Indonesia",https://id.techinasia.com/rebranding-local-fokus-industri-kreatif-indonesia,,"Region, Jakarta, Startup Terbaru"
1,"ROBLOX, Game Untuk Menciptakan Game Ini Sekarang Hadir Untuk Android",https://id.techinasia.com/roblox-game-sandbox-untuk-menciptakan-game-ini-sekarang-hadir-untuk-android,,"Android, Android Articles"
1,Ryde Mencari Pendanaan untuk Ekspansi ketika Grab dan Gojek Dirumorkan Merger,https://id.techinasia.com/ryde-mencari-pendanaan-untuk-ekspansi,Startup,Investor
1,<em>Startup</em> Asal Malaysia Ini Ingin Mendominasi Layanan Penyedia Jasa <em>On-Demand</em> di Indonesia,https://id.techinasia.com/sejasa-situs-penyedia-jasa-on-demand,Startup,"Region, Internasional, Startup Terbaru"
1,Sekarang Kamu Bisa Memiliki Server Minecraft Sendiri Dengan Mudah!,https://id.techinasia.com/sekarang-kamu-bisa-memiliki-server-minecraft-sendiri-dengan-mudah,,"Mac, Mac Articles, PC, PC Articles"
1,Cara Traveloka Optimalkan SEO agar Tetap Unggul di Mesin Pencari,https://id.techinasia.com/seo-traveloka,Profesional,Digital Marketing
1,Sisi Gelap dan Terang Industri <em>Cloud Kitchen</em>,https://id.techinasia.com/sisi-gelap-dan-terang-industri-cloud-kitchen,Startup,Industry Insights
1,"Investasi ke <em>Startup</em> Daur Ulang Plastik, demi Menjaga Lingkungan atau Murni karena Bisnis",https://id.techinasia.com/startup-daur-ulang-plastik,Startup,Industry Insights
1,[Update] Bagaimana Keadaan 8 <em>Startup</em> Favorit Editorial <em>Tech in Asia Indonesia</em> 2017 Kini?,https://id.techinasia.com/startup-favorit-editorial-tech-asia-indonesia-2017,Startup,Featured Startup
1,4 <em>Startup</em> Sosial Terbaik Asal Indonesia di Sankalp Awards 2017,https://id.techinasia.com/startup-indonesia-sankalp-awards-2017,Startup,
1,<em>Startup</em> vs <em>Scale-up</em>: Hal yang Berubah Saat Tumbuh dari 10 Jadi 100 Karyawan,https://id.techinasia.com/startup-vs-scale-up,Profesional,Team Management
1,"[Update] Stellar Kapital, VC Tanah Air yang Siap Beri Pendanaan untuk <em>Startup</em> Tahap Awal hingga Seri A",https://id.techinasia.com/stellar-kapital-incar-startup-tahap-awal,Startup,Investor
1,"Pasang Iklan di Mobil, Mitra Pengemudi Sticar Bisa Dapat Penghasilan Tambahan",https://id.techinasia.com/sticar-tawarkan-pendapatan-tambahan-lewat-pemasangan-iklan-di-mobil,Startup,Startup Terbaru
1,Stiker LINE sebagai Penghasilan Alternatif bagi Developer <em>Game</em> Tanah Air,https://id.techinasia.com/stiker-line-dan-manfaatnya-bagi-developer-game-indonesia,Teknologi,"Android, Android Articles"
1,Bagaimana Format Stories Membawa Era Baru di Dunia Media Sosial,https://id.techinasia.com/stories-era-baru-media-sosial,Profesional,Digital Marketing
1,Merancang Strategi Jitu untuk Desain UX yang Efektif,https://id.techinasia.com/strategi-desain-ux-yang-efektif,Profesional,Product Development
1,Strategi Jangka Panjang LinkAja Menghadapi Persaingan Dompet Digital di Indonesia,https://id.techinasia.com/strategi-linkaja-di-persaingan-dompet-digital-indonesia,Startup,Industry Insights
1,Strategi Memimpin Perusahaan yang Berkembang Cepat ala Bos Midtrans,https://id.techinasia.com/strategi-memimpin-perusahaan-yang-berkembang-cepat-ala-bos-midtrans,Startup,Entrepreneur
1,Melakukan Strategi Pemasaran <em>Startup</em> dengan Bujet Terbatas,https://id.techinasia.com/strategi-pemasaran-bujet-terbatas,Profesional,Growth Hack
1,3 Tip Menyusun Strategi Pemasaran Efektif dengan Bujet Terbatas,https://id.techinasia.com/strategi-pemasaran-efektif-bujet-terbatas,Profesional,Digital Marketing
1,3 Tip Strategi Pemasaran untuk Jangkau Calon Konsumen Indonesia,https://id.techinasia.com/strategi-pemasaran-efektif-untuk-konsumen-indonesia,Profesional,Digital Marketing
1,Bagaimana RateS Memaksimalkan Potensi <em>Social Commerce</em> di Indonesia,https://id.techinasia.com/strategi-rates-kembangkan-social-commerce-di-indonesia,Startup,Industry Insights
1,Strategi Mantan COO Gojek Pecahkan Masalah Pendidikan di Indonesia,https://id.techinasia.com/strategi-rohan-monga-di-zenius,Startup,Featured Startup
1,"TikTok Hapus 380.000 Video di AS, Pendapatan Alibaba Naik 28%, dan Lainnya",https://id.techinasia.com/tiktok-hapus-380-000-video-di-as-dan-lainnya,Brief,
1,[Update] 15 Tip dan Trik Memakai Slack untuk Tingkatkan Produktivitas,https://id.techinasia.com/tip-dan-trik-slack,Teknologi,Featured Tech
1,Tip Membuat Video <em>Content Marketing</em> yang Ampuh untuk Promosi,https://id.techinasia.com/tip-membuat-video-emcontent-marketingem-yang-ampuh-untuk-promosi,Profesional,Digital Marketing
1,Apa Saja yang Perlu Diperhatikan untuk Memulai <em>Startup</em> SaaS?,https://id.techinasia.com/tip-mendirikan-startup-saas,Startup,Entrepreneur
1,"Travacello, startup penyedia paket <em>travel</em> yang muncul dari kekaguman terhadap wisata tanah air",https://id.techinasia.com/travacello-startup-penyedia-paket-travel-lokal-jakarta,,"Jakarta, Startup Terbaru"
1,[Infografik] Tren Belanja <em>Online</em> Masyarakat Indonesia di Masa Pandemi,https://id.techinasia.com/tren-belanja-online-pandemi,Visual Story,
1,Tutorial Lengkap Google Spreadsheet untuk para Profesional,https://id.techinasia.com/tutorial-google-spreadsheet-professional,Profesional,Self Management
1,Fokus UangTeman Setelah Menyelesaikan Pendanaan Seri B Tahap Kedua,https://id.techinasia.com/uangteman-pendanaan-seri-b,Startup,Investor
1,Uber Hadirkan Fitur Real Time ID Check untuk Pastikan Identitas Pengemudi Mereka,https://id.techinasia.com/uber-lakukan-verifikasi-online-pada-pengemudi-mereka-secara-berkala,Teknologi,
1,[Video] Cara Bangun <em>Personal Branding</em> untuk Memasarkan Produk,https://id.techinasia.com/video-cara-bangun-personal-branding,Visual Story,
1,[Video] Cara Menambah <em>Viewer</em> di YouTube ala Tech in Asia,https://id.techinasia.com/video-cara-menambah-viewer-youtube,Visual Story,
1,[Update] Kumpulan Portal <em>Online</em> Khusus Wanita di Indonesia,https://id.techinasia.com/website-media-online-khusus-wanita-indonesia,Teknologi,Featured Tech
1,"Gagal Bangun 2 <em>Startup</em>, <em>Founder</em> Ini Ceritakan Pelajaran Berharga yang Ia Petik",https://id.techinasia.com/pelajaran-kegagalan-bangun-2-startup,Startup,Entrepreneur
1,36 Investor <em>Startup</em> Paling Aktif di Asia Tenggara Saat ini,https://id.techinasia.com/36-investor-startup-paling-aktif-di-asia-tenggara,Startup,Investor
1,8 Tip untuk para <em>Founder</em> ketika Pertama Kali Berhadapan dengan Investor,https://id.techinasia.com/8-tip-bertemu-investor,Startup,Industry Insights
1,Bagaimana AirAsia Mengembangkan Diri Jadi Perusahaan Teknologi,https://id.techinasia.com/airasia-berkembang-jadi-perusahaan-teknologi,Acara Eksklusif,PDC &amp; Conference
1,Mengapa AC Ventures Bisa Menjadi VC Berpengaruh bagi <em>Startup</em> di Indonesia?,https://id.techinasia.com/alasan-ac-ventures-bisa-berpengaruh-kuat,Startup,Investor
1,Inilah 5 Alasan Kenapa Anak Muda Cocok Menjadi <em>Foodpreneur</em>,https://id.techinasia.com/alasan-anak-muda-menjadi-foodpreneur,Startup,
1,Alibaba Cloud di Tengah Persaingan Layanan Komputasi Awan Indonesia,https://id.techinasia.com/alibaba-cloud-komputasi-awan-di-indonesia,Teknologi,Featured Tech
1,"Alodokter Terima Pendanaan Seri A Sebesar Rp32,5 Miliar dari Tiga Investor",https://id.techinasia.com/alodokter-terima-pendanaan-seri-a,Startup,"Investor, Region, Jakarta"
1,Bagaimana Zalora Lahirkan Banyak Alumni yang Jadi <em>Founder Startup</em> di Asia Tenggara,https://id.techinasia.com/alumni-zalora-yang-jadi-founder-startup,Startup,Industry Insights
1,Alasan Mengapa Kota <em>Tier</em> Kedua Jadi <em>Hotspot Startup</em> Berikutnya,https://id.techinasia.com/analisis-potensi-kota-tier-kedua-untuk-startup,Visual Story,
1,Bisakah Shopee Untung dan Menjadi <em>E-commerce</em> Terkemuka di Asia Tenggara?,https://id.techinasia.com/analisis-profitabilitas-shopee,Startup,Industry Insights
